Denumire,Raion,Amplasare,Proprietar,Suprafata,Coordonate,Categorie,Subcategorie,Diversitatea_fitocenotica
Vîşcăuţi,Orhei,"Ocolul silvic Susleni, Vîşcăuţi, parcela 43, subparcelele 11, 15",Gospodăria Silvică de Stat Orhei,24,47.420134°N 29.064051°E,Rezervaţiile Naturale,Silvice
Erjova,Rîbniţa,"Ocolul silvic Erjova, Erjova, parcelele 31, 32",Gospodăria Silvică de Stat Rîbniţa,123,47.819432°N 29.033619°E,Rezervaţiile Naturale,Silvice
Stînca,Rîşcani,"Ocolul silvic Rîşcani, Stînca, parcela 4",Gospodăria Silvică de Stat Glodeni,55,47.930907°N 27.295503°E,Rezervaţiile Naturale,Silvice
Pociumbeni,Rîşcani,"Ocolul silvic Rîşcani, Pociumbeni, parcela 1, subparcelele 13, 19",Gospodăria Silvică de Stat Glodeni,53,47.993038°N 27.25853°E,Rezervaţiile Naturale,Silvice
Lucăceni,Rîşcani,"Ocolul silvic Rîşcani, Lucăceni, parcela 19, subparcelele 3, 5, 11,18; parcela 20, subparcela 2",Gospodăria Silvică de Stat Glodeni,"49,6",47.865888°N 27.31432°E,Rezervaţiile Naturale,Silvice
Şaptebani,Rîşcani,"Ocolul silvic Rîşcani, Şaptebani, parcela 7, subparcela 9",Gospodăria Silvică de Stat Glodeni,17,47.932523°N 27.336816°E,Rezervaţiile Naturale,Silvice
Copanca,Slobozia,"Ocolul silvic Copanca, Copanca, parcelele 41, 43, 44",Gospodăria Silvică de Stat Bender,167,46.712686°N 29.581477°E,Rezervaţiile Naturale,Silvice
Leuntea,Slobozia,"Ocolul silvic Copanca, Copanca, parcela 50, subparcelele 12, 14",Gospodăria Silvică de Stat Bender,"30,1",46.693512°N 29.583311°E,Rezervaţiile Naturale,Silvice
Condriţa,Străşeni,"Ocolul silvic Condriţa, Condriţa, parcela 17, subparcela 1",Gospodăria Silvică de Stat Străşeni,61,47.022775°N 28.607049°E,Rezervaţiile Naturale,Silvice
Roşcani,Străşeni,"Ocolul silvic Ghidighici, Rădeni, parcelele 10, 11, subparcelele 6, 7",Gospodăria Silvică de Stat Chişinău,134,47.181269°N 28.673014°E,Rezervaţiile Naturale,Silvice
Hligeni,Şoldăneşti,"La nord-vest de satul Mateuţi, ocolul silvic Şoldăneşti, Hligeni, parcela 31",Gospodăria Silvică de Stat Soroca,70,47.847426°N 28.873761°E,Rezervaţiile Naturale,Silvice
Olăneşti,Ştefan Vodă,"La sud-est de satul Olăneşti, ocolul silvic Ştefan Vodă, Olăneşti, parcela 23",Gospodăria Silvică de Stat Bender,108,46.49774°N 29.95502°E,Rezervaţiile Naturale,Silvice
Ghiliceni,Teleneşti,"La sud-vest de satul Ghiliceni, ocolul silvic Mîndreşti, Ghiliceni, parcela 24, subparcelele 1, 9, 11",Gospodăria Silvică de Stat Teleneşti,38,47.447762°N 28.232376°E,Rezervaţiile Naturale,Silvice
Teleneşti,Teleneşti,"La nord de satul Crăsnăşeni, ocolul silvic Teleneşti, Vila Teleneşti, parcela 50",Gospodăria Silvică de Stat Teleneşti,111,47.464538°N 28.404092°E,Rezervaţiile Naturale,Silvice
Vadul lui Isac,Vulcăneşti,"Ocolul silvic Slobozia, Vadul lui Isac, parcela 33",Gospodăria Silvică de Stat Cahul,68,45.747438°N 28.269254°E,Rezervaţiile Naturale,Silvice
Flămînda,Vulcăneşti,"Ocolul silvic Vulcăneşti, Flămînda parcela 14, subparcela 3; parcela 15, subparcela 4; parcela 22, subparcelele 9, 12; parcela 24, subparcelele 2, 7; parcela 26, subparcelele 6, 9; parcela 28, subparcela 3; parcela 32, subparcela 5",Gospodăria Silvică de Stat Cahul,71,45.767916°N 28.281604°E,Rezervaţiile Naturale,Silvice
Rosoşeni,Briceni,"Ocolul silvic Briceni, Rosoşeni, parcelele 2, 5, 6, 8, 9",Gospodăria Silvică de Stat Edineţ,368,48.374485°N 27.028433°E,Rezervaţiile Naturale,De plante medicinale
Cahul,Cahul,"Ocolul silvic Larga, Români, parcelele 28, 29, 31-33, 39, 40",Gospodăria Silvică de Stat Cahul,343,46.038268°N 28.287765°E,Rezervaţiile Naturale,De plante medicinale
Hruşca,Camenca,"Ocolul silvic Camenca, Valea Hruşca, parcelele 3-5",Gospodăria Silvică de Stat Rîbniţa,170,48.110834°N 28.607238°E,Rezervaţiile Naturale,De plante medicinale
Bugeac,Comrat,La vest de sediul brigăzii nr.2,"Întreprinderea Agricolă ""Bugeac""",56,46.391972°N 28.692888°E,Rezervaţiile Naturale,De plante medicinale
Cernoleuca,Donduşeni,"Ocolul silvic Donduşeni, Cernoleuca, parcelele 43, 46-48",Gospodăria Silvică de Stat Edineţ,337,48.340609°N 27.583085°E,Rezervaţiile Naturale,De plante medicinale
Logăneşti,Hînceşti,"Ocolul silvic Logăneşti, Vila Logăneşti, parcelele 13-15, 18-20, 23, 24",Gospodăria Silvică de Stat Hînceşti,710,46.911297°N 28.504063°E,Rezervaţiile Naturale,De plante medicinale
Sărata Galbenă,Hînceşti,"Ocolul silvic Cărpineni, Sărata Galbenă parcelele 24, 30, 31, 35, 36",Gospodăria Silvică de Stat Hînceşti,424,46.71393°N 28.392483°E,Rezervaţiile Naturale,De plante medicinale
Selişte,Nisporeni,"Ocolul silvic Păruceni, Selişte- Leu, parcelele 27-30",Gospodăria Silvică de Stat Nisporeni,315,47.106005°N 28.093189°E,Rezervaţiile Naturale,De plante medicinale
Rădoaia,Sîngerei,"Ocolul silvic Alexăndreni, Rădoaia, parcela 23",Gospodăria Silvică de Stat Bălţi,73,47.751816°N 28.161791°E,Rezervaţiile Naturale,De plante medicinale
Cantemir,Cantemir,Lunca inundabilă a rîului Prut la sud de oraşul Cantemir,"Întreprinderea agricolă ""Drujba""",132,46.277757°N 28.163415°E,Rezervaţiile Naturale,Mixte
"Ecosistemul acvatic ""Lebăda albă""",Leova,La nord-vest de oraşul Leova,Primăria oraşului Leova,30,46.490712°N 28.233873°E,Rezervaţiile Naturale,Mixte
"Mlaştina ""Togai""",Ştefan Vodă,"La est de satul Crocmaz, 100 m de la albia Nistrului, ocolul silvic Olăneşti, parcela 27",Gospodăria Silvică de Stat Bender,50,46.468311°N 30.011161°E,Rezervaţiile Naturale,Mixte
