ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_457,Juncus effusus L. ,Rugină extinsă,Magnoliopsida,Juncaceae,,, +,,,,,,,,C
P_458,Juncus gerardii Loisel.,Rugină Gerard,Magnoliopsida,Juncaceae,,, +,,,,,,,,C
P_459,Juncus inflexus L.,Rugină inflectă,Magnoliopsida,Juncaceae,,, +,,,,,,,,C
P_460,Acinos arvensis (Lam.) Dandy,Izmușoară campestră,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_461,Ajuga genevensis L.,Suliman,Magnoliopsida,Lamiaceae,,, +,+, , ,,,,,C
P_462,Ajuga laxmanii (L.) Benth.,Vinețică Laxman,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_463,Ajuga reptans L.,Vinețică repentă,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_464,Ballota nigra L.,Cătușă neagră,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_465,Betonica officinalis L.,Crețișor medicinal,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_466,Clinopodium vulgare L.,Calapăr comun,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_467,Galeobdolon luteum Huds.,Gălbiniță,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_468,Galeopsis bifida Boenn.,Tăpoșnic bifidat,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_469,Galeopsis ladanum L.,Tăpoșnic,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_470,Galeopsis speciosa Mill.,Tăpoșnic frumos,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_471,Glechoma hederacea L.,Silnic,Magnoliopsida,Lamiaceae,,, +,+, , ,,,,,C
P_472,Glechoma hirsuta Waldst et Kit.,Rărunchioară hirsută,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_473,Lamium album L.,Sugel alb,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_474,Lamium amplexicaule L.,Sugel amplexicaul,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_475,Lamium maculatum L.,Sugel pătat,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_476,Lamium purpureum L.,Sugel purpuriu,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_477,Leonurus cardiaca L.,Talpa gâștei,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_478,Leonorus quinquelobatum Gilib.,Somnișor pentalobat,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_479,Lycopus europaeus L.,Cervană europeană,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_480,Lycopus exaltatus L. ,Cervană înaltă,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_481,Marrubium praecox Janka,Unguraș precoce,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_482,Marubium peregrinum L.,Unguraș străin,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_483,Mentha aquatica L.,Mentă acvatică,Magnoliopsida,Lamiaceae,,, +, , ,+,,,,,C
P_484,Mentha arvensis L.,Mentă campestră,Magnoliopsida,Lamiaceae,,, +,+, , ,,,,,C
P_485,Mentha longifolia L.,Mentă longifolie,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_486,Mentha spicata L.,Mentă spicată,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_487,Mentha verticillata L.,Mentă verticilată,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_488,Nepeta pannonica L.,Cătușnică panoniană,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_489,Origanum vulgare L.,Sovârv comun,Magnoliopsida,Lamiaceae,,, +,+, , ,,,,,C
P_490,Phlomis pungens Willd.,Scorogoi pungent,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_491,Phlomis tuberosa L.,Scorogoi tuberos,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_492,Prunella grandiflora L.,Șopârliță grandifloră,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_493,Prunella laciniata (L.) L.,Șopârliță laciniată,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_494,Prunella vulgaris L.,Șopârliță comună,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_495,Salvia aethiopis L.,Șerlai,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_496,Salvia austriaca Jasq.,Salvie austriacă,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_497,Salvia dumetorum  Andrz.,Salvie-de-crâng,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_498,Salvia glutinosa L.,Cinsteț,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_499,Salvia nemorosa L.,Corovatică,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_500,Salvia nutans L.,Salvie nutantă,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_501,Salvia pratensis L.,Salvie praticolă,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_502,Salvia verticillata L.,Salvie verticilată,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_503,Scutellaria altissisima L.,Gluguță înaltă,Magnoliopsida,Lamiaceae,,, +,+, , ,,,,,C
P_504,Scutellaria galericulata L.,Gluguță comună,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_505,Sideritis comosa L.,Încheietoare moțată,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_506,Sideritis montana L. ,Încheietoare montană,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_507,Stachys annua (L.) L.,Jaleș anual,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_508,Stachys germanica L.,Jaleș german,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_509,Stachys palustris L.,Jaleș palustru,Magnoliopsida,Lamiaceae,,, , , ,+,,,,,C
P_510,Stachys officinalis (L.)Trev.,Jaleș medicinal,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_511,Stachys recta L.,Jaleș erect,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_512,Stachys sylvatica L.,Jaleș silvatic,Magnoliopsida,Lamiaceae,,, +, , , ,,,,,C
P_513,Teucrium chamaedrys L.,Jugărel comun,Magnoliopsida,Lamiaceae,,, ,+, , ,,,,,C
P_514,Teucrium montanum L. ,Jugărel montan,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_515,Teucrium polium L.,Jugărel cenușiu,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_516,Thymus marschallianus Willd.,Cimbru Marșal,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_517,Thymus moldavicus Klokov & Des.-Shost,Cimbru moldovenesc,Magnoliopsida,Lamiaceae,,, ,+,+, ,,,,,C
P_518,Lemna minor L.,Lentiță minoră,Magnoliopsida,Lemnaceae,,, , , ,+,,,,,C
P_519,Lemna trisulca L.,Lentiță trisulcată,Magnoliopsida,Lemnaceae,,, , , ,+,,,,,C
P_520,Anthericum ramosum L.,Liliuță rămuroasă,Magnoliopsida,Liliaceae,,, , ,+, ,,,,,R
P_521,Convallaria majalis L.,Lăcrămioară,Magnoliopsida,Liliaceae,,, +, , , ,,,,,R
P_522,Fritillaria montana Hoppe ex W.D.J. Koch ,Bibilică montană,Magnoliopsida,Liliaceae,,, +, , , ,,,,,RR
P_523,Gagea erubescens (Besser) Schult. & Schult. F.,Scânteiuță roșcată,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_524,Gagea lutea (L.) Ker-Gawl.,Scânteiuță galbenă,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_525,Gagea minima  (L.) Ker-Gawl.,Scânteiuță minimă,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_526,Gagea pratensis (Pers.) Dumort.,Scânteiuță praticolă,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_527,Gagea pusilla Schult.et Schult. fil.,Scânteiuță pitică,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_528,Gagea villosa (M Bieb) Duby,Scânteiuță viloasă,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_529,Leopoldia tenuiflora Heldr.,Leopoldie tenuifolie,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_530,Lilium martagon L.,Crin silvicol,Magnoliopsida,Liliaceae,,, +, , , ,,,,,R
P_531,Majanthemum bifolium F.W. Schmidt,Umbrăvioară bifolie,Magnoliopsida,Liliaceae,,, +, , , ,,,,,RR
P_532,Muscari neglectum Guss.,Muscăriță neglijată,Magnoliopsida,Liliaceae,,, , ,+, ,,,,,C
P_533,Paris quadrifolia L.,Dalac tetrafoliat,Magnoliopsida,Liliaceae,,, +, , , ,,,,,R
P_534,Polygonatum latifolium Desf.,Cerceluș hirt,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_535,Polygonatum multiflorum (L.) All.,Cerceluș multiflor,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_536,Polygonatum odoratum (Mill.) Druce,Cerceluș odorant,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_537,Scilla bifolia L.,Viorele bifoliate,Magnoliopsida,Liliaceae,,, +, , , ,,,,,C
P_538,Tulipa biebersteiniana Schult. et Schult. fil.,Lalea Bieberștein,Magnoliopsida,Liliaceae,,, +, , , ,,,,,R
P_539,Veratrum nigrum L.,Strigoaie neagră,Magnoliopsida,Liliaceae,,, +, , , ,,,,,R
P_540,Linum austriacum L. ,In austriac,Magnoliopsida, Linaceae,,, ,+, , ,,,,,C
P_541,Linum hirsutum L.,In hirsutum,Magnoliopsida, Linaceae,,, ,+, , ,,,,,C
P_542,Linum tauricum Willd. ,In tauric,Magnoliopsida, Linaceae,,, , ,+, ,,,,, R
P_543,Loranthus europaeus Jacq.,Mărgăritar european,Magnoliopsida, Loranthaceae,,, +,,,,,,,,C
P_544,Viscum album L.,Vâsc alb,Magnoliopsida, Loranthaceae,,, +,,,,,,,,C
P_545,Lythrum salicaria L.,Răchitan salicifoliu,Magnoliopsida,Lythraceae,,, ,+, ,+,,,,,C
P_546,Althaea cannabiana L.,Camileac,Magnoliopsida,Malvaceae,,, ,+, , ,,,,,C
P_547,Althaea officinalis L.,Rujă medicinală,Magnoliopsida,Malvaceae,,, ,+, , ,,,,,C
P_548,Hibiscus trionum L. ,Zămoșică ternată,Magnoliopsida,Malvaceae,,, ,+, , ,,,,,C
P_549,Lavathera thuringiaca L.,Nalba câinelui,Magnoliopsida,Malvaceae,,, ,+, , ,,,,,C
P_550,Malva pusilla Sm ,Colăcei mărunți,Magnoliopsida,Malvaceae,,, ,+, , ,,,,,C
P_551,Malva sylvestris L.,Colăcei silvicoli,Magnoliopsida,Malvaceae,,, +, , , ,,,,,C
P_552,Fraxinus excelsior L.,Frasin înalt,Magnoliopsida,Oleaceae,,, +, ,,,,,,,C
P_553,Fraxinus ornus L.,Mojdrean,Magnoliopsida,Oleaceae,,,+, ,,,,,,,C
P_554,Ligustrum vulgare L.,Lemn câinesc,Magnoliopsida,Oleaceae,,,+, ,,,,,,,C
P_555,Circaea lutetiana L.,Vrăjitoare pariziană,Magnoliopsida,Onagraceae,,, +, ,,,,,,,C
P_556,Chamaenerion angustifolium (L.) Scop.,Răscoage angustifolie,Magnoliopsida,Onagraceae,,, ,+,,,,,,,C
P_557,Epilobium hirsutum L.,Pufuliță hirsută,Magnoliopsida,Onagraceae,,, +, ,,,,,,,C
P_558,Epilobium montanum L.,Pufuliță montană,Magnoliopsida,Onagraceae,,, +, ,,,,,,,C
P_559,Epilobium parviflorum Schreber,Pufuliță microfloră,Magnoliopsida,Onagraceae,,, +, ,,,,,,,C
P_560,Epilobium tetragonum L.  ,Pufuliță tetraunghiulară,Magnoliopsida,Onagraceae,,, +, ,,,,,,,C
P_561,Oenothera biennis L.,Luminiță bienală,Magnoliopsida,Onagraceae,,, +, ,,,,,,,C
P_562,Cephalanthera damasonium (Mill.) Druce  ,Căpșuniță grandifloră,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_563,Cephalanthera longifolia (L.) Fritsch,Căpșuniță longifolie,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_564,Cephalanthera rubra (L.) Rich.,Căpșuniță roșie,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_565,Cypripedium calceolus L.,Papucul doamnei,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_566,Epipactis atrorubens (Hoffm.) Bess.,Dumbrăviță roșcată,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_567,Epipactis helleborine ( L.) Crantz,Dumbrăviță heleboroidă,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,R
P_568,Epipactis purpurata Smith.,Dumbrăviță purpurie,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_569,Listera ovata  (L.) R. Br.,Buhăeș ovat,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,RR
P_570,Neottia nidus-avis (L.) Rich,Cuibul pământului,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,R
P_571,Orchis purpurea Huds,Poroinic purpuriu,Magnoliopsida,Orchidaceae,,, ,+, , ,,,,,R
P_572,Platanthera bifolia (L.) Rich,Stupiniță bifolie,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,R
P_573,Platanthera chlorantha (Cust.) Reichenb.,Stupiniță verzuie,Magnoliopsida,Orchidaceae,,, +, , , ,,,,,R
P_574,Chelidonium majus L.,Rostopască mare,Magnoliopsida,Papaveraceae,,, ,+, ,+,,,,,C
P_575,Papaver dubium L.,Mac dubios,Magnoliopsida,Papaveraceae,,, ,+, , ,,,,,C
P_576,Papaver rhoeas L.,Mac roșu,Magnoliopsida,Papaveraceae,,, ,+, , ,,,,,C
P_577,Plantago cornuti Gouan,Pătlagină cornută,Magnoliopsida,Plantaginaceae,,, ,+,,,,,,,C
P_578,Plantago lanceolata L.,Pătlagină lanceolată,Magnoliopsida,Plantaginaceae,,, ,+,,,,,,,C
P_579,Plantago major L.,Pătlagină majoră,Magnoliopsida,Plantaginaceae,,, ,+,,,,,,,C
P_580,Plantago media L.,Pătlagină medie,Magnoliopsida,Plantaginaceae,,, ,+,,,,,,,C
P_581,Plantago urvillei Opiz,Pătlagină ,Magnoliopsida,Plantaginaceae,,, ,+,,,,,,,C
P_582,Goniolimon besserianum (Schult.) Kusn.,Apărătoare Beser,Magnoliopsida,Plumbaginaceae,,, ,+,+, ,,,,,R
P_583,Limonium gmelinii(Willd.) O. Kuntze ,Sică Gmelin,Magnoliopsida,Plumbaginaceae,,, ,+, , ,,,,,C
P_584,Agropyron pectinatum (Bieb.) Beauv.,Pir pectinat,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_585,Aegilops cylindrica Host,Ciucuri cilindrici,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_586,Agrostis gigantea Roth.,Bucățel giganteu,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_587,Agrostis stolonifera L.,Bucățel stolonifer,Magnoliopsida,Poaceae,,, +,+, , ,,,,,C
P_588,Alopecurus aegualis Sobol.,Vulpină egală,Magnoliopsida,Poaceae,,, , , ,+,,,,,C
P_589,Alopecurus arundinaceus Poir.,Vulpină arundinacee,Magnoliopsida,Poaceae,,, , , ,+,,,,,C
P_590,Alopecurus pratensis L.,Coada vulpii,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_591,Anisantha sterilis (L.) Nevscki,Anizantă sterilă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_592,Anisantha tectorum (L.) Nevski,Anizantă tegulicolă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_593,Arhenatherum elatius (L.) J. et C.Presl,Raigras înalt,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_594,Beckmannia eruciformis (L.) Host,Becmanie eruciformis,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_595,Botrichloa ischaemum (L.) Keng,Bărboasă hemostatică,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_596,Brachyopodium sylvaticum (Huds.) Beauv.,Ovăsică silvatică,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_597,Bromopsis benekenii ( Lange) Holub,Târsacă Beneken,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_598,Bromopsis inermis (Leys) Holub,Târsacă neînarmată,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_599,Bromopsis riparia (Rehm.) Holub.,Târsacă riparină,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_600,Bromus arvensis L.,Obsigă campestră,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_601,Bromus commutatus Schrad.,Obsigă fluctuantă,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_602,Bromus japonicus Thunb.,Obsigă japoneză,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_603,Bromus mollis L.,Obsigă moale,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_604,Bromus squarrosus L.,Obsigă svaroasă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_605,Calamagrostis canescens (Weber) Roth ,Trestioară căruntă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_606,Calamagrostis arundinacea (L.) Roth ,Trestioară arundinacee,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_607,Calamagrostis epigeios (L.) Roth,Trestioară epigee,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_608,Cynodon dactylon (L.) Pers.,Iarba câinelui,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_609,Dactylis glomerata L.,Golomăț glomerat,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_610,Deschampsia caespitosa (L.) Beauv.,Pipiriguță cespitoasă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_611,Echinochloa crus-galii (L.) Beauv.,Costrei păsărești,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_612,Elytrigia intermedia (Host) Nevski,Chirău intermediu,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_613,Elytrigia repens (L.) Nevski,Chirău repent,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_614,Festuca gigantea (L.) Vill.,Păiuș gigantic,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_615,Festuca pratensis Huds.,Păiuș praticol,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_616,Festuca valesiaca Gaudin,Păiuș stepic,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_617,Glyceria maxima (C. Hartm.) Holub,Rourică maximă,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_618,Glyceria plicata (Fries) Fries,Rourică cutată,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_619,Hordeum leporinum Link,Orz leporin,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_620,Koeleria cristata (L.) Pers.,Kelerie cristată,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_621,Koeleria moldavica M. Alexeenco.,Kelerie moldoveană,Magnoliopsida,Poaceae,,, ,+, , ,,,,,R
P_622,Lolium perenne L.,Zizanie perenă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_623,Melica nutans L.,Mărgică nutantă,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_624,Melica picta C. Koch,Mărgică pestriță,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_625,Melica transsilvanica Schur,Mărgică transilvăneană,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_626,Melica uniflora Retz.,Mărgică unifloră,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_627,Milium effusum L.,Meișor etalat,Magnoliopsida,Poaceae,,, +, , , ,,,,,C
P_628,Phalaroides arundinaceaea (L.) Rauschert,Ierbăluță arundinacee,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_629,Phleum phleoides (L.) Karst.,Timoftică stepică,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_630,Phleum pratense L.,Timoftică praticolă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_631,Phragmites australis (Cav.) Trin. ex Stend.,Trestie sudică,Magnoliopsida,Poaceae,,, ,+, ,+,,,,,C
P_632,Poa angustifolia L.,Firuță angustifolie,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_633,Poa annua L.,Firuță anuală,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_634,Poa bulbosa L.,Firuță bulbiferă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_635,Poa compressa L. ,Firuță compactă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_636,Poa nemoralis L.,Firuță nemorală,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_637,Poa pratensis L.,Firuță praticolă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_638,Poa trivialis L.,Firuță trivială,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_639,Puccinellia distans (Jacq.) Parl.,Lăniș distanțat,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_640,Sclerchloa dura (L.) Beauv.,Iarbă tare,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_641,Setaria glauca (L.) Beauv.,Mohor glauc,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_642,Setaria viridis (L.) Beauv.,Mohor verde,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_643,Stipa capillata L.,Negară pletoasă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_644,Stipa lessingiana  Trin. et Rupr.,Negară Lesing,Magnoliopsida,Poaceae,,, ,+, , ,,,,,R
P_645,Stipa pennata L.,Negară penată,Magnoliopsida,Poaceae,,, ,+, , ,,,,,C
P_646,Stipa pulcherrima K. Koch,Negară frumoasă,Magnoliopsida,Poaceae,,, ,+, , ,,,,,R
P_647,Polygala comosa Schkuhr,Amăreală comată,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_648,Polygala vulgaris L.,Amăreală comună,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_649,Polygala sibirica L.,Amăreală siberiană,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,R 
P_650,Fallopia convolvulus L.,Hrișcuță volubilă,Magnoliopsida,Polygalaceae,,, ,+,+, ,,,,,C
P_651,Fallopia dumetorum (L.) Holub,Hrișcuță dumicolă,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_652,Polygonum amphibium L.,Troscot amfibie,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_653,Polygonum aviculare L.,Troscot păsăresc,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_654,Polygonum lapathifolium L.,Troscot latifoliu,Magnoliopsida,Polygalaceae,,, +, , , ,,,,,C
P_655,Polygonum persicaria L.,Troscot persicariu,Magnoliopsida,Polygalaceae,,, +, , ,+,,,,,C
P_656,Rumex acetosa L.,Stevie mare,Magnoliopsida,Polygalaceae,,, +, , , ,,,,,C
P_657,Rumex acetosella  L.,Măcriș mărunt,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_658,Rumex aquaticus L.,Stevie acvatică,Magnoliopsida,Polygalaceae,,, +, , , ,,,,,C
P_659,Rumex confertus Willd.,Măcrișul calului,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_660,Rumex crispus L.,Stevie crispată,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_661,Rumex sanguineus L.,Stevie sanguinee,Magnoliopsida,Polygalaceae,,, ,+, , ,,,,,C
P_662,Rumex sylvestris (Lam.) Wallr.,Stevie silvicolă,Magnoliopsida,Polygalaceae,,, +, , , ,,,,,C
P_663,Portulaca oleracea L.,Porcina grădinii,Magnoliopsida,Portulacaceae,,,,+,,,,,,,C
P_664,Anagalis arvensis L.,Sclipeț campestru,Magnoliopsida,Primulaceae,,, +,+,,,,,,,C
P_665,Anagalis foemina Mill.,Sclipeț albastru,Magnoliopsida,Primulaceae,,, ,+,,,,,,,C
P_666,Androsace elongata L.,Lăptișor elongat,Magnoliopsida,Primulaceae,,, ,+,,,,,,,C
P_667,Lysimachia nummularia L.,Drețe repente,Magnoliopsida,Primulaceae,,, +,+,,,,,,,C
P_668,Lysimachia vulgaris L.,Drețe comune,Magnoliopsida,Primulaceae,,, ,+,,,,,,,C
P_669,Primula veris L.,Aglică vernală,Magnoliopsida,Primulaceae,,, ,+,,,,,,,R
P_670,Aconitum lasiostomum Rchb. Ex Besser,Omag lasiostom,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,R
P_671,Actaea spicata L.,Orbalț spicat,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,R
P_672,Adonis vernalis L.,Rușcuță vernală,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,R
P_673,Adonis aestivalis L.,Rușcuță estivală,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_674,Anemone sylvestris L.,Oițe silvicole,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_675,Anemonoides nemorosa (L.) Holub.,Păștiță silvicolă,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_676,Anemonoides ranunculoides  (L.) Holub.,Păștiță silvicolă,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_677,Clematis recta L.,Păștiță ranunculoidă,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,R
P_678,Clematis vitalba L.,Viță albă,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_679,Consolida paniculata  (Host) Schur.,Pintenași paniculați,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_680,Consolida regalis S.F. Gray.,Pintenași regali,Magnoliopsida,Ranunculaceae,,, ,+,+, ,,,,,C
P_681,Ficaria verna Huds.,Grâușor vernal,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_682,Isopyrum thalictroides L.,Găinușă talictroidă,Magnoliopsida,Ranunculaceae,,, , , , ,,,,,C
P_683,Nigella arvensis L.,Negrușcă campestris,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_684,Pulsatilla grandis Wender. ,Dedițel mare,Magnoliopsida,Ranunculaceae,,, , ,+, ,,,,,RR 
P_685,Pulsatilla montana (Hoppe) Rchb.,Dedițel montan,Magnoliopsida,Ranunculaceae,,, , ,+, ,,,,,R
P_686,Ranunculus acris L.,Boglari acri,Magnoliopsida,Ranunculaceae,,, +,+, , ,,,,,C
P_687,Ranunculus auricomus L.,Boglari aurii,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_688,Ranunculus illyricus L.,Trânjoaică,Magnoliopsida,Ranunculaceae,,, ,+,+, ,,,,,C
P_689,Ranunculus meyerianus Rupr.,Boglari Meier,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_690,Ranunculus nemorosus L.,Boglari silvatici,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_691,Ranunculus  polyanthemos L.,Boglari pluriflori,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
