ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_121,Cirsium setosum (Willd.) Besser,Pălămidă setoasă,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_122,Crepis biennis L.,Gălbenuș bianual,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_123,Crepis tectorum L.,Gălbenuș tecticol,Magnoliopsida,Asteraceae,,, , , , ,,,,,C
P_124,Crepis rhoeadifolia (Bieb.) Celak.,Gălbenuș rubrifoliu,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_125,Crepis setosa Haller Fil.,Gălbenuș setos,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_126,Crinitaria linosyris (L.) Less.,Coamă aurie,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_127,Doronicum hungaricum Reichenb. fil.,Cujdă ungurească,Magnoliopsida,Asteraceae,,, +, , , ,,,,,R
P_128,Echinops sphaerocephalus L.,Rostogol sferocefal,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_129,Echinops ruthenicus M.Bieb.,Rostogol rusesc,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_130,Erigeron annuus (L.) Pers.,Bătrâniș anual,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_131,Erigeron canadensis L.,Bătrâniș canadian,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_132,Erigeron podolicus Bess.,Bătrâniș podolean,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_133,Eupatorium cannabinum L.,Cânepioara codrului,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_134,Filago arvensis L.,Flocoșel campestru,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_135,Galisonga parviflora Cav.,Busuioacă parvifloră,Magnoliopsida,Asteraceae,,, +,+, , ,,,,,C
P_136,Gnaphalium rossicum Kirp.,Lânărică rusească,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_137,Grindelia squarrosa (Pursh.) Dunal,Grindelie scvaroasă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_138,Helichrysum arenarium (L.) Moench,Siminoc arenicol,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,R
P_139,Hieracium caespitosum Dumort.,Vulturică cespitoasă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,R
P_140,Hieracium glaucescens Bess.,Vulturică glaucescentă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_141,Hieracium pilosella L.,Vulturică fin-păroasă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_142,Hieracium virosum Pallas.,Vulturică virotică,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_143,Inula britannica L.,Sovârvăriță britanică,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_144,Inula ensifolia L.,Sovârvăriță enzifolie,Magnoliopsida,Asteraceae,,, , ,+, ,,,,,R
P_145,Inula germanica L.,Sovârvăriță germană,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_146,Inula helenium L.,Iarbă mare,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
